mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
2066716.2576687119435519,741694.78527607361320406,2162.08531824219335249,-2413.03281943175670676,1,-0.73550903119485156,0.43004807214992979,0.85200638455886013
2068670.24539877334609628,743519.93865030666347593,2272.68954602719577451,-2311.96343886959948577,1,-0.77102955703185216,2.28818396385668166,2.41459570741513785
2065814.4171779144089669,743026.07361963181756437,2113.45759740568382767,-2337.70752637128089191,1,0.6734356656561431,1.57516983984623948,1.71308949565951174
2065664.11042944807559252,741308.2822085889056325,2102.01578073826976834,-2435.91645276658482544,1,0.84298172433318541,-1.94184303266683855,2.11692525873647597
2068917.1779141107108444,744056.74846625758800656,2285.08484741689426301,-2287.17283609020250879,1,1.34368521226542725,-2.35653637945597438,2.71270227952870968
2066651.84049079776741564,742639.57055214722640812,2161.13183351990892334,-2361.54464442839343974,1,-1.6643056934208289,-0.2770046902555805,1.68720035549325797
2068090.49079754622653127,741383.43558282207231969,2236.9676143441865861,-2432.35385145899726922,1,-0.65301952750951386,-0.63541545688030965,0.91114614972086738
2069185.58282208628952503,740556.74846625758800656,2294.03041839101297228,-2476.24831611040235657,1,1.00682400341202083,1.95078637702408741,2.1952817729461005
2066608.8957055218052119,740728.52760736190248281,2154.44602079954529472,-2465.71364459406504466,1,-0.6904633837698384,0.9956370348463679,1.21162402975698802
2068691.71779141132719815,743004.6012269938364625,2273.83896465136695042,-2343.68703286315940204,1,-1.64456824267836055,-0.97593910899649927,1.91234459480896679
2067124.23312883474864066,743434.0490797545062378,2186.05003534855677572,-2317.35035407231634963,1,0.76801135561800038,0.43637724488826279,0.88332697355762302
2069937.11656441749073565,740782.20858895697165281,2336.16910445636176519,-2467.4694231801213391,1,0.55867344258695084,-1.12808273229347833,1.25884338436148391
2065674.84662576718255877,740717.79141104291193187,2101.7726632178591899,-2467.4694231801213391,1,0.6402197740731026,-0.89581486286488143,1.1010747602428459
2068122.69938650331459939,742027.60736196313519031,2237.84550363721473332,-2395.48250115181735964,1,1.36885192829049629,0.70763373994668655,1.54094163143694218
2068487.73006134992465377,740728.52760736190248281,2258.03695737686120992,-2468.34731247314948632,1,-1.04378767063599298,-0.1732000091469672,1.05805999099305414
